"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: fs.read ... ueFile);aws-iot.js:106[16:41];Sink: arrayToString(tmp);aws-iot.js:328[34:51]::FLOW_DESCR_END","/nodes/aws-iot/aws-iot.js","106","16","106","41"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;aws-iot.js:444[29:31];Sink: msg;aws-iot.js:461[31:33]::FLOW_DESCR_END","/nodes/aws-iot/aws-iot.js","444","29","444","31"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: options.host;index.js:151[19:30];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:151[19:30];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:151[19:30];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:151[19:30];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","151","19","151","30"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: options.host;index.js:157[18:29];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:157[18:29];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:157[18:29];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.host;index.js:157[18:29];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","157","18","157","29"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: options.port;index.js:157[39:50];Sink: 'canoni ...  + '\n';index.js:93[19:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.port;index.js:157[39:50];Sink: 'url: ' + url + '\n';index.js:136[19:38]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.port;index.js:157[39:50];Sink: 'using  ... '\'...';index.js:627[25:78]::FLOW_DESCR_END
FLOW_DESCR_START::Source: options.port;index.js:157[39:50];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","157","39","157","50"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: options.host;index.js:165[19:30];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","165","19","165","30"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: options.host;index.js:171[18:29];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","171","18","171","29"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: options.port;index.js:171[39:50];Sink: 'using  ... '\'...';index.js:634[25:98]::FLOW_DESCR_END","/nodes/aws-iot-device-sdk/device/index.js","171","39","171","50"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: fs.read ... utf-8');index.js:489[43:76];Sink: array;index.js:179[50:54]::FLOW_DESCR_END
